CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit_Name,Org_Type,Referral_Appointment_Time,Part,Total_referrals,Screening_sample_total,Clinical_indication,Highgrade_mod_severe,Inadequate,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Clinical_Urgent,Clinical_Non_Urgent,Other
2014-15,E92000001,England,E92000001,England,England,National,<=8_weeks,A,192932,129676,38530,38259,1394,36415,51658,15769,22490,594,1356,11609,26921,24726
2014-15,E92000001,England,E92000001,England,England,National,<=12_weeks,A,196960,131801,39618,38299,1465,37319,52768,15788,22511,594,1356,11690,27928,25541
2015-16,E92000001,England,E92000001,England,England,National,Total_cases,A,188360,123558,43454,35025,1538,34726,50431,14550,20475,594,1244,12970,30484,21348
2015-16,E92000001,England,E92000001,England,England,National,<=2_weeks,A,68628,46704,17665,30484,247,5710,8480,12372,18112,584,1199,9929,7736,4259
2015-16,E92000001,England,E92000001,England,England,National,<=4_weeks,A,123278,82014,30008,34518,737,18401,26531,14247,20271,592,1235,11814,18194,11256
2015-16,E92000001,England,E92000001,England,England,National,<=8_weeks,A,186088,122828,42484,34980,1483,34464,50067,14532,20448,594,1240,12860,29624,20776
2015-16,E92000001,England,E92000001,England,England,National,<=12_weeks,A,187606,123344,43100,35001,1515,34649,50343,14542,20459,594,1242,12920,30180,21162
2016-17,E92000001,England,E92000001,England,England,National,Total_cases,A,184098,116314,48012,31793,1558,32323,48872,13401,18392,560,1208,13605,34407,19772
2016-17,E92000001,England,E92000001,England,England,National,<=2_weeks,A,72234,47876,19915,30087,285,6357,9414,12594,17493,556,1177,11059,8856,4443
2016-17,E92000001,England,E92000001,England,England,National,<=4_weeks,A,125294,80765,33701,31542,818,18709,27931,13284,18258,559,1206,12695,21006,10828
2016-17,E92000001,England,E92000001,England,England,National,<=8_weeks,A,181587,115513,46851,31745,1508,31968,48525,13382,18363,560,1207,13495,33356,19223
2016-17,E92000001,England,E92000001,England,England,National,<=12_weeks,A,183054,115997,47492,31782,1535,32154,48759,13395,18387,560,1207,13547,33945,19565
2017-18,E92000001,England,E92000001,England,England,National,Total_cases,A,175995,113673,47585,30958,1442,31975,47603,13007,17951,587,1108,13338,34247,14737
2017-18,E92000001,England,E92000001,England,England,National,<=2_weeks,A,71445,47972,19826,29703,264,6861,9469,12425,17278,581,1094,11143,8683,3647
2017-18,E92000001,England,E92000001,England,England,National,<=4_weeks,A,121901,80126,33366,30806,798,19126,27704,12945,17861,586,1106,12475,20891,8409
2017-18,E92000001,England,E92000001,England,England,National,<=8_weeks,A,173325,112670,46478,30933,1399,31533,47111,12989,17944,587,1107,13227,33251,14177
2017-18,E92000001,England,E92000001,England,England,National,<=12_weeks,A,174895,113260,47125,30943,1424,31754,47445,12998,17945,587,1107,13275,33850,14510
2018-19,E92000001,England,E92000001,England,England,National,Total_cases,A,182304,118745,49406,31586,1288,32892,51223,13714,17872,610,1146,13382,36024,14153
2018-19,E92000001,England,E92000001,England,England,National,<=2_weeks,A,69503,46460,19749,29961,210,5741,8837,12959,17002,599,1112,11376,8373,3294
2018-19,E92000001,England,E92000001,England,England,National,<=4_weeks,A,119628,78534,33232,31410,683,17681,27010,13633,17777,607,1143,12723,20509,7862
2018-19,E92000001,England,E92000001,England,England,National,<=8_weeks,A,179534,117604,48458,31569,1248,32557,50474,13705,17864,610,1146,13324,35134,13472
2018-19,E92000001,England,E92000001,England,England,National,<=12_weeks,A,181568,118519,49172,31575,1280,32823,51085,13710,17865,610,1146,13365,35807,13877
2019-20,E92000001,England,E92000001,England,England,National,Total_cases,A,191563,126364,52035,30925,1138,33996,58734,14192,16733,469,1102,14144,37891,13164
2019-20,E92000001,England,E92000001,England,England,National,<=2_weeks,A,69205,45685,20462,28989,173,5744,9252,13232,15757,457,1070,11970,8492,3058
2019-20,E92000001,England,E92000001,England,England,National,<=4_weeks,A,116309,76061,33260,30592,547,15937,27420,14024,16568,468,1097,13305,19955,6988
2019-20,E92000001,England,E92000001,England,England,National,<=8_weeks,A,185752,123202,50040,30899,1103,33132,56498,14180,16719,468,1102,13994,36046,12510
2019-20,E92000001,England,E92000001,England,England,National,<=12_weeks,A,189468,125182,51425,30913,1122,33701,57876,14187,16726,468,1102,14119,37306,12861
2020-21,E92000001,England,E92000001,England,England,National,Total_cases,A,176561,120482,42052,28176,1178,31372,58379,14336,13840,386,991,13861,28191,14027
2020-21,E92000001,England,E92000001,England,England,National,<=2_weeks,A,59834,39191,18288,26186,162,4491,7023,13223,12963,374,955,11433,6855,2355
2020-21,E92000001,England,E92000001,England,England,National,<=4_weeks,A,94271,61676,27062,27788,429,11882,20209,14114,13674,384,984,12894,14168,5533
2020-21,E92000001,England,E92000001,England,England,National,<=8_weeks,A,150658,102372,37113,28114,949,25461,46472,14293,13821,386,990,13571,23542,11173
2020-21,E92000001,England,E92000001,England,England,National,<=12_weeks,A,163083,111486,39077,28145,1066,28519,52379,14315,13830,386,991,13706,25371,12520
2021-22,E92000001,England,E92000001,England,England,National,Total_cases,A,235223,159217,48824,35391,1436,39068,81671,19203,16188,500,1151,16029,32795,27182
2021-22,E92000001,England,E92000001,England,England,National,<=2_weeks,A,69727,47154,18980,33176,134,4424,7831,17961,15215,478,1111,12748,6232,3593
2021-22,E92000001,England,E92000001,England,England,National,<=4_weeks,A,112303,74608,28358,35036,437,12690,24804,18985,16051,498,1143,14571,13787,9337
2021-22,E92000001,England,E92000001,England,England,National,<=8_weeks,A,205793,140203,43172,35333,1195,33744,68281,19167,16166,499,1151,15479,27693,22418
2021-22,E92000001,England,E92000001,England,England,National,<=12_weeks,A,220725,149830,46022,35356,1310,36617,74896,19185,16171,500,1151,15638,30384,24873
2022-23,E92000001,England,E92000001,England,England,National,Total_cases,A,246762,160037,48005,30624,1643,43312,83023,18089,12535,412,1023,15673,32332,38720
2022-23,E92000001,England,E92000001,England,England,National,<=2_weeks,A,61953,40523,17619,28536,146,3914,6554,16870,11666,396,977,12287,5332,3811
2022-23,E92000001,England,E92000001,England,England,National,<=4_weeks,A,104865,67546,26147,30316,467,12492,22843,17919,12397,411,1017,14331,11816,11172
2022-23,E92000001,England,E92000001,England,England,National,<=6_weeks,A6,194027,127562,36768,30533,1240,33603,60757,18035,12498,411,1018,21751,15017,29697
2022-23,E92000001,England,E92000001,England,England,National,<=8_weeks,A,210017,137483,40107,30570,1344,36796,67340,18056,12514,411,1022,15281,24826,32427
2022-23,E92000001,England,E92000001,England,England,National,<=12_weeks,A,228107,148895,43806,30594,1493,40171,75203,18066,12528,411,1023,15485,28321,35406
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,Total_cases,A,37896,22099,7545,5211,363,6901,9351,3499,1712,82,191,3159,4386,8252
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=2_weeks,A,10716,6955,2979,4907,35,709,1047,3308,1599,76,181,2416,563,782
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=4_weeks,A,16274,9902,4334,5183,90,1705,2651,3481,1702,82,191,2817,1517,2038
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=6_weeks,A6,29125,17325,6080,5211,244,4881,6716,3493,1718,82,191,3092,2988,5720
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=8_weeks,A,31140,18414,6491,5207,271,5372,7291,3497,1710,82,191,3029,3462,6235
2022-23,N1,North East and Yorkshire,N1,North East and Yorkshire,North East and Yorkshire,Region,<=12_weeks,A,34155,20079,6888,5209,311,6055,8231,3497,1712,82,191,3073,3815,7188
2022-23,N2,North West,N2,North West,North West,Region,Total_cases,A,31046,16398,7253,3059,213,4349,8653,1501,1558,25,99,2173,5080,7395
2022-23,N2,North West,N2,North West,North West,Region,<=2_weeks,A,8130,4252,3172,2938,18,406,774,1452,1486,25,91,1929,1243,706
2022-23,N2,North West,N2,North West,North West,Region,<=4_weeks,A,13737,7255,4428,3042,56,1337,2699,1492,1550,25,96,2072,2356,2054
2022-23,N2,North West,N2,North West,North West,Region,<=6_weeks,A6,25879,14535,5669,3059,194,3757,7405,1501,1558,25,95,3556,2113,5675
2022-23,N2,North West,N2,North West,North West,Region,<=8_weeks,A,27028,15156,5896,3058,202,3943,7829,1501,1557,25,99,2139,3757,5976
2022-23,N2,North West,N2,North West,North West,Region,<=12_weeks,A,28634,15904,6204,3058,210,4171,8341,1501,1557,25,99,2158,4046,6526
2022-23,N3,Midlands,N3,Midlands,Midlands,Region,Total_cases,A,39861,25056,6310,4613,174,9250,10774,2501,2112,70,175,2672,3638,8495
2022-23,N3,Midlands,N3,Midlands,Midlands,Region,<=2_weeks,A,9880,5805,2993,4103,11,692,764,2219,1884,69,166,1975,1018,1082
2022-23,N3,Midlands,N3,Midlands,Midlands,Region,<=4_weeks,A,18773,11372,4392,4518,45,2962,3602,2454,2064,70,175,2365,2027,3009
2022-23,N3,Midlands,N3,Midlands,Midlands,Region,<=6_weeks,A6,34416,21936,5312,4577,142,8014,8958,2486,2091,70,175,2806,2506,7168
2022-23,N3,Midlands,N3,Midlands,Midlands,Region,<=8_weeks,A,36866,23453,5739,4598,158,8576,9876,2491,2107,70,175,2577,3162,7674
2022-23,N3,Midlands,N3,Midlands,Midlands,Region,<=12_weeks,A,38608,24420,6053,4606,169,8993,10407,2495,2111,70,175,2635,3418,8135
2022-23,N4,East of England,N4,East of England,East of England,Region,Total_cases,A,24355,14458,3300,3103,164,4683,6359,1510,1593,37,112,1039,2261,6597
2022-23,N4,East of England,N4,East of England,East of England,Region,<=2_weeks,A,5140,3816,921,2822,15,372,469,1361,1461,34,104,746,175,403
2022-23,N4,East of England,N4,East of England,East of England,Region,<=4_weeks,A,9528,6380,1555,3057,56,1330,1789,1487,1570,37,111,961,594,1593
2022-23,N4,East of England,N4,East of England,East of England,Region,<=6_weeks,A6,20985,12920,2519,3098,137,4033,5503,1508,1590,37,112,1514,1005,5546
2022-23,N4,East of England,N4,East of England,East of England,Region,<=8_weeks,A,22861,13855,2862,3100,148,4431,6027,1509,1591,37,112,1020,1842,6144
2022-23,N4,East of England,N4,East of England,East of England,Region,<=12_weeks,A,23835,14285,3110,3102,160,4610,6264,1510,1592,37,112,1031,2079,6440
2022-23,N5,London,N5,London,London,Region,Total_cases,A,59586,42828,14532,6939,348,8526,26749,4423,2516,70,196,3322,11210,2226
2022-23,N5,London,N5,London,London,Region,<=2_weeks,A,13363,9339,3790,6644,35,679,1722,4227,2417,68,191,2596,1194,234
2022-23,N5,London,N5,London,London,Region,<=4_weeks,A,22170,15412,6202,6863,86,2077,6123,4373,2490,69,194,3028,3174,556
2022-23,N5,London,N5,London,London,Region,<=6_weeks,A6,40438,29174,9848,6906,187,5427,16390,4400,2506,69,195,6654,3194,1416
2022-23,N5,London,N5,London,London,Region,<=8_weeks,A,44411,31611,11194,6916,207,6027,18197,4408,2508,69,195,3251,7943,1606
2022-23,N5,London,N5,London,London,Region,<=12_weeks,A,51822,36883,13049,6926,268,7226,22198,4413,2513,69,196,3295,9754,1890
2022-23,N6,South East,N6,South East,South East,Region,Total_cases,A,22972,18567,2041,3755,62,4218,10367,2307,1448,44,121,581,1460,2364
2022-23,N6,South East,N6,South East,South East,Region,<=2_weeks,A,5892,4921,716,3531,6,430,791,2161,1370,44,119,416,300,255
2022-23,N6,South East,N6,South East,South East,Region,<=4_weeks,A,9437,7741,1011,3732,18,1223,2603,2296,1436,44,121,502,509,685
2022-23,N6,South East,N6,South East,South East,Region,<=6_weeks,A6,16114,13548,1281,3743,50,2886,6704,2301,1442,44,121,751,530,1285
2022-23,N6,South East,N6,South East,South East,Region,<=8_weeks,A,18399,15349,1449,3747,55,3362,8020,2302,1445,44,121,550,899,1601
2022-23,N6,South East,N6,South East,South East,Region,<=12_weeks,A,20602,16967,1735,3749,59,3800,9194,2302,1447,44,121,571,1164,1900
2022-23,N7,South West,N7,South West,South West,Region,Total_cases,A,31046,20631,7024,3944,319,5385,10770,2348,1596,84,129,2727,4297,3391
2022-23,N7,South West,N7,South West,South West,Region,<=2_weeks,A,8832,5435,3048,3591,26,626,987,2142,1449,80,125,2209,839,349
2022-23,N7,South West,N7,South West,South West,Region,<=4_weeks,A,14946,9484,4225,3921,116,1858,3376,2336,1585,84,129,2586,1639,1237
2022-23,N7,South West,N7,South West,South West,Region,<=6_weeks,A6,27070,18124,6059,3939,286,4605,9081,2346,1593,84,129,3378,2681,2887
2022-23,N7,South West,N7,South West,South West,Region,<=8_weeks,A,29312,19645,6476,3944,303,5085,10100,2348,1596,84,129,2715,3761,3191
2022-23,N7,South West,N7,South West,South West,Region,<=12_weeks,A,30451,20357,6767,3944,316,5316,10568,2348,1596,84,129,2722,4045,3327
2022-23,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,Total_cases,A,786,not included,305,84,not included,not included,not included,not included,not included,1,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,<=2_weeks,A,350,not included,246,79,not included,not included,not included,not included,not included,1,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,<=4_weeks,A,504,not included,284,83,not included,not included,not included,not included,not included,1,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCF,Airedale NHS Foundation Trust,Airedale General Hospital,Trust,<=6_weeks,A6,762,not included,300,83,not included,not included,not included,not included,not included,1,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,Total_cases,A,1413,not included,308,155,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,<=2_weeks,A,307,not included,87,152,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,<=4_weeks,A,433,not included,150,154,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital,Trust,<=6_weeks,A6,1048,not included,239,154,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,Total_cases,A,1933,not included,762,259,not included,not included,not included,not included,not included,9,7,not included,not included,not included
2022-23,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,<=2_weeks,A,752,not included,432,256,not included,not included,not included,not included,not included,9,7,not included,not included,not included
2022-23,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,<=4_weeks,A,924,not included,549,259,not included,not included,not included,not included,not included,9,7,not included,not included,not included
2022-23,N1,North East and Yorkshire,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Trust,<=6_weeks,A6,1722,not included,725,259,not included,not included,not included,not included,not included,9,7,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,Total_cases,A,1425,not included,171,264,not included,not included,not included,not included,not included,5,14,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,<=2_weeks,A,325,not included,44,251,not included,not included,not included,not included,not included,5,14,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,<=4_weeks,A,356,not included,55,257,not included,not included,not included,not included,not included,5,14,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale Royal Hospital,Trust,<=6_weeks,A6,397,not included,63,261,not included,not included,not included,not included,not included,5,14,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,Total_cases,A,353,not included,69,46,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,<=2_weeks,A,56,not included,12,43,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,<=4_weeks,A,67,not included,18,46,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWY,Calderdale and Huddersfield NHS Foundation Trust,Huddersfield Royal Infirmary,Trust,<=6_weeks,A6,72,not included,21,46,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,Total_cases,A,1058,not included,134,143,not included,not included,not included,not included,not included,1,13,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,<=2_weeks,A,200,not included,20,143,not included,not included,not included,not included,not included,1,13,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,<=4_weeks,A,302,not included,36,143,not included,not included,not included,not included,not included,1,13,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Bishop Auckland General Hospital,Trust,<=6_weeks,A6,903,not included,87,143,not included,not included,not included,not included,not included,1,13,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,Total_cases,A,397,not included,68,25,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,<=2_weeks,A,42,not included,9,25,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,<=4_weeks,A,77,not included,11,25,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Chester-Le-Street Community Hospital,Trust,<=6_weeks,A6,237,not included,44,25,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,Total_cases,A,550,not included,96,41,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,<=2_weeks,A,57,not included,3,41,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,<=4_weeks,A,105,not included,17,41,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Darlington Memorial Hospital,Trust,<=6_weeks,A6,441,not included,71,41,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,Total_cases,A,13,not included,0,1,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,<=2_weeks,A,8,not included,0,1,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,<=4_weeks,A,13,not included,0,1,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,HMP Low Newton,Trust,<=6_weeks,A6,13,not included,0,1,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,Total_cases,A,881,not included,79,105,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,<=2_weeks,A,141,not included,21,105,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,<=4_weeks,A,267,not included,26,105,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RXP,County Durham and Darlington NHS Foundation Trust,Shotley Bridge Community Hospital,Trust,<=6_weeks,A6,678,not included,59,105,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,Total_cases,A,741,not included,179,72,not included,not included,not included,not included,not included,2,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,<=2_weeks,A,132,not included,19,72,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,<=4_weeks,A,251,not included,40,72,not included,not included,not included,not included,not included,2,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Bassetlaw Hospital,Trust,<=6_weeks,A6,726,not included,168,72,not included,not included,not included,not included,not included,2,3,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,Total_cases,A,1657,not included,482,215,not included,not included,not included,not included,not included,5,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,<=2_weeks,A,290,not included,31,210,not included,not included,not included,not included,not included,4,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,<=4_weeks,A,428,not included,86,215,not included,not included,not included,not included,not included,5,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster Royal Infirmary,Trust,<=6_weeks,A6,1519,not included,364,215,not included,not included,not included,not included,not included,5,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Trust,Total_cases,A,1426,not included,128,198,not included,not included,not included,not included,not included,0,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Trust,<=2_weeks,A,304,not included,39,187,not included,not included,not included,not included,not included,0,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Trust,<=4_weeks,A,666,not included,81,196,not included,not included,not included,not included,not included,0,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RR7,Gateshead Health NHS Foundation Trust,Queen Elizabeth Hospital,Trust,<=6_weeks,A6,1024,not included,108,196,not included,not included,not included,not included,not included,0,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCD,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,Trust,Total_cases,A,784,not included,212,68,not included,not included,not included,not included,not included,2,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCD,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,Trust,<=2_weeks,A,198,not included,92,58,not included,not included,not included,not included,not included,2,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCD,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,Trust,<=4_weeks,A,360,not included,139,68,not included,not included,not included,not included,not included,2,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCD,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,Trust,<=6_weeks,A6,738,not included,181,68,not included,not included,not included,not included,not included,2,5,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWA,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Trust,Total_cases,A,1899,not included,123,298,not included,not included,not included,not included,not included,5,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWA,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Trust,<=2_weeks,A,354,not included,25,236,not included,not included,not included,not included,not included,5,7,not included,not included,not included
2022-23,N1,North East and Yorkshire,RWA,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Trust,<=4_weeks,A,869,not included,58,291,not included,not included,not included,not included,not included,5,9,not included,not included,not included
